이름,날짜,담당자,담당자a,상태
요구사항 명세서,2024년 12월 11일 → 2024년 12월 14일,,,진행 중
화면 설계서,2024년 12월 11일 → 2024년 12월 14일,,,진행 중
WBS/Gantt,2024년 12월 11일 → 2024년 12월 14일,,,진행 중
아키텍쳐 다이어그램,2024년 12월 16일 → 2024년 12월 21일,,,시작 전
API 명세서,2024년 12월 16일 → 2024년 12월 21일,,,시작 전
ERD,2024년 12월 16일 → 2024년 12월 21일,,,시작 전
회원가입,2024년 12월 23일 → 2024년 12월 24일,,,시작 전
로그인,2024년 12월 25일 → 2024년 12월 26일,,,시작 전
소셜 로그인,2024년 12월 30일 → 2025년 1월 2일,,,시작 전
로그인 유지,2024년 12월 27일 → 2024년 12월 28일,,,시작 전
게시글 작성,2024년 12월 23일 → 2024년 12월 24일,,,시작 전
게시글 수정,2024년 12월 25일 → 2024년 12월 26일,,,시작 전
게시글 삭제,2024년 12월 27일 → 2024년 12월 28일,,,시작 전
게시글 목록 조회,2024년 12월 30일 → 2025년 1월 1일,,,시작 전
쿠폰 등록,2024년 12월 23일 → 2024년 12월 26일,,,시작 전
쿠폰 카테고리 생성,2024년 12월 30일 → 2024년 12월 31일,,,시작 전
쿠폰 카테고리 이동,2025년 1월 1일 → 2025년 1월 2일,,,시작 전
쿠폰 리스트 조회,2024년 12월 27일 → 2024년 12월 28일,,,시작 전
쿠폰 상세보기,2025년 1월 3일 → 2025년 1월 4일,,,시작 전
쿠폰 정렬 기능,2025년 1월 3일 → 2025년 1월 4일,,,시작 전
쿠폰 체크 기능,2025년 1월 3일 → 2025년 1월 4일,,,시작 전
쿠폰 사용/잔여 금액 확인,2025년 1월 6일 → 2025년 1월 9일,,,시작 전
쿠폰 공유,2025년 1월 10일 → 2025년 1월 11일,,,시작 전
쿠폰 기간 연장,2025년 1월 10일 → 2025년 1월 11일,,,시작 전
통합 테스트 / 디버깅,2025년 1월 8일 → 2025년 1월 11일,,,시작 전
종강,2025년 1월 24일,,,시작 전
유지 보수,2025년 1월 19일 → 2025년 1월 24일,,,시작 전
중간 리뷰 : 코드 리뷰 / Q&A,2025년 1월 6일 → 2025년 1월 7일,,,시작 전
발표 준비,2025년 1월 19일 → 2025년 1월 24일,,,시작 전
배포 / 서버 설정 + 도커,2025년 1월 13일 → 2025년 1월 18일,,,시작 전
,,,,시작 전
